artists,name,duration_ms,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,decade,decade_label,cluster
Antonio Aguilar,Ángel De Mi Gloria,181487,1991,0.671,0.474,0.27,7.62e-06,0.237,-9.475,0.0431,163.802,0.964,33.0,1990,1990s,2
Bibi und Tina,Kapitel 03 - Amadeus ist krank (Folge 002),89891,1991,0.484,0.716,0.49,0.0,0.14,-14.062,0.907,125.532,0.634,38.0,1990,1990s,1
Al Stewart,Year of the Cat - 2001 Remaster,401400,1991,0.0114,0.531,0.607,0.00511,0.121,-9.602,0.0328,116.652,0.534,62.0,1990,1990s,0
Rocío Dúrcal,¿Por Qué Tanta Soledad?,221467,1991,0.801,0.373,0.46,0.00916,0.231,-9.463,0.0362,179.816,0.252,29.0,1990,1990s,2
黃翊,最愛的妳,227733,1991,0.703,0.587,0.434,0.0,0.199,-9.431,0.0351,139.96,0.267,25.0,1990,1990s,2
Teenage Fanclub,Star Sign,295640,1991,9.54e-05,0.116,0.872,0.0179,0.318,-12.466,0.102,162.857,0.0477,28.0,1990,1990s,0
Samson & Gert,De Wijde Wereld,202800,1991,0.691,0.72,0.335,0.0,0.138,-13.294,0.034,99.925,0.425,19.0,1990,1990s,2
Rata Blanca,Guerrero Del Arco Iris,304587,1991,1.56e-05,0.193,0.735,0.703,0.102,-11.46,0.0382,168.679,0.3,41.0,1990,1990s,0
MK,Burning - Vibe Mix,350807,1991,0.000458,0.68,0.817,0.00364,0.115,-5.199,0.0342,119.681,0.422,42.0,1990,1990s,0
Globi,S' gaat wiiter mit Bim Profässer Gastropodus im Museum,145813,1991,0.0505,0.721,0.356,0.0,0.275,-16.346,0.784,123.951,0.68,13.0,1990,1990s,1
Piojos Y Piojitos,Piojos y Piojitos,134133,1991,0.778,0.496,0.193,0.0,0.0834,-19.221,0.0343,102.511,0.856,23.0,1990,1990s,2
"Pavlos Sidiropoulos, Oi Aprosarmosti",Aprosarmosti,291160,1991,0.431,0.604,0.395,0.093,0.134,-15.263,0.0398,89.719,0.786,9.0,1990,1990s,2
Bibi Blocksberg,Kapitel 16 - wird entführt (Folge 051),91053,1991,0.564,0.698,0.313,0.0,0.184,-14.781,0.955,77.807,0.739,32.0,1990,1990s,1
Karibe con K,Más Que Ayer,210360,1991,0.342,0.648,0.752,4.99e-06,0.268,-6.211,0.0406,96.389,0.889,12.0,1990,1990s,0
"Lata Mangeshkar, Hariharan",Kabhi Main Kahoon,444762,1991,0.534,0.443,0.636,0.000537,0.28,-11.448,0.0476,110.693,0.708,31.0,1990,1990s,0
Gali Atari,דרך ארוכה,267000,1991,0.679,0.263,0.284,0.0,0.151,-14.372,0.0279,82.002,0.139,34.0,1990,1990s,2
S. P. Balasubrahmanyam,Oho Laila,296858,1991,0.0901,0.625,0.705,0.000105,0.0983,-7.339,0.0651,195.779,0.925,36.0,1990,1990s,0
Yüksel Uzel,Üzüldüğün Şeye Bak,259683,1991,0.76,0.482,0.512,0.0,0.339,-9.448,0.032,87.657,0.693,14.0,1990,1990s,2
Ozzy Osbourne,Mr. Tinkertrain,356853,1991,0.000435,0.36,0.907,0.00043,0.361,-7.138,0.0829,126.144,0.458,48.0,1990,1990s,0
Sounds Of Blackness,Optimistic,318533,1991,0.00619,0.725,0.856,0.0241,0.391,-6.018,0.0559,104.311,0.828,52.0,1990,1990s,0
Alphaville,Big in Japan - Best Of,235200,1991,0.183,0.755,0.604,0.0336,0.128,-9.84,0.0454,97.8,0.491,60.0,1990,1990s,0
Globi,Na mee vo De Tell rettet de Globi bi Zwinguri,88147,1991,0.814,0.622,0.431,0.0,0.286,-11.523,0.927,97.037,0.585,19.0,1990,1990s,1
Live,Pain Lies On The Riverside,311667,1991,0.00449,0.422,0.903,0.000235,0.065,-7.974,0.0511,123.838,0.882,53.0,1990,1990s,0
Samuray,Lagrimillas Tontas,159920,1991,0.376,0.567,0.666,5.37e-06,0.554,-4.428,0.0284,80.352,0.774,50.0,1990,1990s,0
"Anuradha Paudwal, Suresh Wadkar",O Rabba Koi To Bataye,446347,1991,0.942,0.452,0.534,0.41,0.0902,-10.425,0.042,77.203,0.542,30.0,1990,1990s,2
Renaud,Ma chanson leur a pas plu - Suite,231467,1991,0.683,0.616,0.568,0.0,0.225,-12.004,0.0749,110.348,0.704,18.0,1990,1990s,0
Cocteau Twins,Know Who You Are At Every Age - Remastered 2006,217800,1991,0.00368,0.585,0.675,1.8e-06,0.132,-7.79,0.027,111.708,0.634,34.0,1990,1990s,0
"Wilmer X, Peps Persson",Perssons gård,271200,1991,0.00408,0.575,0.898,1.62e-05,0.139,-4.106,0.035,134.09,0.946,28.0,1990,1990s,0
Die drei ???,053 - und die Automafia - Teil 35,80827,1991,0.37,0.623,0.547,0.0,0.279,-10.711,0.52,76.863,0.741,35.0,1990,1990s,1
Pan Mei Chen,我怕我不是你最愛的人,245160,1991,0.352,0.573,0.319,0.0,0.318,-15.294,0.0411,155.051,0.216,14.0,1990,1990s,2
Vivek Verma,Meri Jaan Chali,299467,1991,0.627,0.364,0.428,1.04e-05,0.218,-8.885,0.0272,92.585,0.449,16.0,1990,1990s,2
Peabo Bryson,Closer Than Close,281027,1991,0.0492,0.619,0.634,0.0,0.111,-11.838,0.0378,143.797,0.47,25.0,1990,1990s,0
Karibe con K,Entrégate,234387,1991,0.248,0.502,0.829,3.49e-05,0.0886,-6.345,0.0448,83.788,0.56,10.0,1990,1990s,0
La Ley,Solo Ideales,293853,1991,0.195,0.709,0.391,0.709,0.0631,-17.241,0.0369,124.072,0.95,28.0,1990,1990s,0
Alberto Vazquez,Perdóname Mi Vida,203082,1991,0.852,0.424,0.342,9.13e-06,0.0906,-9.105,0.0322,102.107,0.382,35.0,1990,1990s,2
娃娃,飄洋過海來看你,342133,1991,0.535,0.543,0.427,0.0,0.143,-13.227,0.0309,122.31,0.45,41.0,1990,1990s,2
Bez Ladu A Skladu,Arab Muhamad Abdul Ali,145493,1991,0.0113,0.338,0.904,3.02e-06,0.332,-5.056,0.0762,175.373,0.839,5.0,1990,1990s,0
Grasshopper,笑中有淚,299293,1991,0.0617,0.844,0.694,0.0,0.102,-7.019,0.0306,125.032,0.583,10.0,1990,1990s,0
Sonido Cotopaxi,20 Años,209975,1991,0.301,0.781,0.635,1.1e-05,0.278,-5.785,0.1,88.926,0.715,7.0,1990,1990s,0
Bibi und Tina,Kapitel 03 - Papi lernt reiten (Folge 003),96491,1991,0.679,0.563,0.65,0.0,0.146,-12.913,0.501,125.021,0.582,38.0,1990,1990s,1
Ottmar Liebert,August Moon,251707,1991,0.556,0.716,0.73,0.832,0.307,-8.132,0.0361,101.04,0.863,38.0,1990,1990s,0
Cantando Aprendo a Hablar,Canta a e i o u,125000,1991,0.659,0.477,0.6,0.0,0.0857,-6.416,0.0349,123.337,0.508,30.0,1990,1990s,0
Piojos Y Piojitos,Canción del Click,100693,1991,0.63,0.582,0.315,0.0,0.281,-14.969,0.446,146.569,0.803,27.0,1990,1990s,1
Brenda Lee,Jambalaya (On The Bayou) - Single Version,127667,1991,0.543,0.524,0.322,0.0,0.141,-11.216,0.045,207.183,0.841,33.0,1990,1990s,0
Shlomo Artzi,גם זה לטובה - הוקלט חי בצוותא 1987,391733,1991,0.805,0.599,0.27,0.000131,0.681,-16.88,0.0404,124.605,0.347,6.0,1990,1990s,2
Zerrin Özer,Sevildiğini Bil,326293,1991,0.738,0.543,0.261,0.000259,0.117,-18.597,0.0344,76.82,0.379,16.0,1990,1990s,2
Lenny Kravitz,The Difference Is Why,292827,1991,0.0189,0.552,0.395,0.00364,0.12,-12.035,0.0362,117.425,0.203,34.0,1990,1990s,2
Rockfour,שלכת,353160,1991,0.00521,0.56,0.595,0.127,0.173,-12.378,0.0271,125.082,0.61,8.0,1990,1990s,0
Car-Man,Чио-Чио-сан,298013,1991,0.0574,0.681,0.888,0.000208,0.104,-6.896,0.029,123.542,0.813,39.0,1990,1990s,0
Bragi Hlíðberg,Í Húsafellsskógi,200806,1991,0.691,0.35,0.364,0.837,0.0908,-12.64,0.041,177.171,0.775,2.0,1990,1990s,2
Die drei ???,052 - und die Musikpiraten - Teil 10,81320,1991,0.481,0.752,0.619,0.0,0.44,-9.218,0.917,46.146,0.52,35.0,1990,1990s,1
Army Of Lovers,Obsession,221760,1991,0.0497,0.757,0.641,0.00046,0.234,-10.681,0.0278,103.981,0.951,41.0,1990,1990s,0
Thorstein Bergman,Till Min Syster,116333,1991,0.943,0.53,0.128,0.0,0.102,-16.458,0.0848,78.016,0.636,18.0,1990,1990s,2
Jody Chiang,傷心的所在,231173,1991,0.526,0.592,0.513,0.0,0.119,-9.027,0.03,89.607,0.301,20.0,1990,1990s,2
Pixies,Motorway to Roswell,283800,1991,0.0488,0.584,0.752,0.00479,0.304,-9.983,0.0279,113.923,0.734,41.0,1990,1990s,0
Nirvana,In Bloom - Smart Sessions,270733,1991,7e-05,0.419,0.845,0.29,0.152,-5.483,0.0602,148.995,0.344,40.0,1990,1990s,0
The September When,"Where You Go I, I Go",223773,1991,0.00914,0.473,0.773,0.000731,0.189,-7.159,0.0298,106.011,0.59,25.0,1990,1990s,0
Arnulfo Briceño,La Toma de Páez,241659,1991,0.27,0.553,0.451,6.11e-06,0.0664,-12.24,0.0422,123.546,0.714,12.0,1990,1990s,0
Züri West,(Bitte Baby) blib no chli bi mir,243714,1991,0.0745,0.58,0.784,0.00359,0.064,-5.234,0.0272,98.436,0.72,21.0,1990,1990s,0
Ferdi Özbeğen,Dilek Taşı,300427,1991,0.553,0.452,0.545,0.0,0.079,-8.377,0.0319,83.324,0.316,51.0,1990,1990s,2
Farfuglarnir,Á Sprengisandi,163329,1991,0.224,0.712,0.541,2.03e-06,0.0579,-13.231,0.0275,116.154,0.907,6.0,1990,1990s,0
R.E.M.,Losing My Religion 2 - Demo,273968,1991,0.00663,0.731,0.792,0.00054,0.18,-6.537,0.0296,122.099,0.957,30.0,1990,1990s,0
"Apotheosis, DJ Patrick Samoy",Ô Fortuna - Apocalypse Chorus Mix,290657,1991,7.23e-05,0.469,0.869,2.07e-05,0.077,-7.265,0.0613,130.761,0.255,29.0,1990,1990s,0
Los Kjarkas,El Árbol de Mi Destino,187925,1991,0.204,0.694,0.759,0.000624,0.0767,-6.013,0.0662,125.976,0.772,12.0,1990,1990s,0
Mohammed Aziz,Aadmi Zindagi - Part 1,284118,1991,0.219,0.486,0.87,2.06e-05,0.376,-7.41,0.0662,94.072,0.962,15.0,1990,1990s,0
Barrington Levy,My Time,221907,1991,0.000525,0.704,0.444,5.17e-05,0.0513,-11.282,0.0743,176.514,0.621,25.0,1990,1990s,0
Katy Garbi,Sto Sen Trope (Sent Tropez Twist),158333,1991,0.339,0.564,0.808,0.103,0.282,-8.759,0.0651,178.392,0.965,11.0,1990,1990s,0
Jacky Cheung,壯志驕陽,210893,1991,0.383,0.753,0.766,0.0,0.324,-8.825,0.0381,125.048,0.419,27.0,1990,1990s,0
Boy Krazy,"That's What Love Can Do - 7"" Mix",194001,1991,0.0237,0.727,0.825,0.000373,0.233,-7.916,0.0436,117.484,0.791,25.0,1990,1990s,0
Nirvana,Come As You Are - Boombox Rehearsals,251293,1991,0.025,0.353,0.919,0.121,0.372,-2.512,0.0365,120.023,0.706,36.0,1990,1990s,0
Pixies,Trompe le Monde,107573,1991,0.000305,0.211,0.796,0.00291,0.306,-10.598,0.0431,141.281,0.497,41.0,1990,1990s,0
Die drei ???,051 - und der riskante Ritt - Teil 26,81613,1991,0.13,0.697,0.469,0.0,0.531,-9.098,0.845,78.035,0.632,35.0,1990,1990s,1
Genesis,No Son Of Mine - Remastered 2007,400093,1991,0.153,0.659,0.594,0.000554,0.109,-8.567,0.0252,103.993,0.229,53.0,1990,1990s,0
Mauro Scocco,Det finns,249733,1991,0.158,0.501,0.835,3.2e-06,0.497,-7.471,0.0411,96.14,0.409,36.0,1990,1990s,0
The Jesus Lizard,Monkey Trick,258360,1991,1.14e-05,0.429,0.659,0.652,0.0491,-10.805,0.0298,134.954,0.555,38.0,1990,1990s,0
Reijo Taipale,Ruusujen aika,235658,1991,0.0366,0.522,0.403,5.74e-06,0.175,-11.423,0.0259,105.816,0.34,22.0,1990,1990s,0
Republic,Megyek a sorban,254333,1991,0.0226,0.802,0.494,0.00558,0.084,-13.85,0.0413,102.282,0.965,17.0,1990,1990s,0
Cypress Hill,How I Could Just Kill a Man,252240,1991,0.000722,0.769,0.675,0.000149,0.0904,-13.326,0.0724,101.884,0.803,63.0,1990,1990s,0
"Andrew Lloyd Webber, Jason Donovan, Linzi Hateley, ""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast","The Brothers Came To Egypt / Grovel, Grovel",260187,1991,0.719,0.542,0.612,0.0,0.552,-9.672,0.119,131.93,0.475,33.0,1990,1990s,1
Die drei ???,052 - und die Musikpiraten - Teil 33,70840,1991,0.352,0.612,0.669,0.0,0.503,-7.727,0.899,140.775,0.393,34.0,1990,1990s,1
Züri West,Dr Arturo Bandini un i,283682,1991,0.126,0.505,0.818,0.0448,0.0805,-4.736,0.0275,100.555,0.514,24.0,1990,1990s,0
Bibi und Tina,Kapitel 24 - Das Fohlen (Folge 001),93408,1991,0.649,0.674,0.325,0.0,0.878,-15.883,0.937,96.053,0.576,40.0,1990,1990s,1
Lisa Fischer,How Can I Ease the Pain,319880,1991,0.143,0.634,0.577,1.78e-05,0.183,-7.579,0.0303,116.212,0.4,44.0,1990,1990s,0
Moshe Cohen,מחבק בקבוק,396800,1991,0.531,0.547,0.573,2.2e-05,0.11,-9.767,0.0288,157.759,0.554,6.0,1990,1990s,0
Anni Tannin Lapsilaulajat,Lumipyry,54040,1991,0.993,0.612,0.0912,0.46,0.133,-18.33,0.0785,102.197,0.577,11.0,1990,1990s,2
Element Of Crime,Vier Stunden vor Elbe 1,268200,1991,0.0344,0.441,0.189,3.76e-05,0.14,-17.652,0.0322,60.757,0.118,28.0,1990,1990s,2
KATSUMI,"YES, 抱きしめて",294800,1991,0.392,0.558,0.951,0.000115,0.407,-5.634,0.057,145.705,0.63,25.0,1990,1990s,0
Modestia Aparte,Piel Y Arena,311000,1991,0.351,0.606,0.293,6.66e-06,0.361,-16.2,0.0301,136.045,0.166,27.0,1990,1990s,2
Achim Reichel,Kuddel Daddel Du,287880,1991,0.155,0.561,0.89,0.0,0.106,-4.906,0.0345,128.146,0.89,40.0,1990,1990s,0
Barricada,Deja Que Esto No Acabe Nunca,236240,1991,0.000138,0.492,0.772,0.277,0.207,-14.399,0.0315,139.993,0.644,26.0,1990,1990s,0
Žalman & spol.,Ještě Jednou,108067,1991,0.857,0.551,0.152,4.49e-06,0.127,-18.607,0.037,116.753,0.495,9.0,1990,1990s,2
羅大佑,大家免著驚,250600,1991,0.224,0.839,0.693,0.0,0.0463,-12.304,0.0551,118.131,0.848,22.0,1990,1990s,0
Red Hot Chili Peppers,Little Miss Lover - 2006 Remaster,158550,1991,0.000271,0.585,0.98,2.49e-05,0.0273,-2.79,0.12,94.775,0.47,43.0,1990,1990s,0
Baby Animals,Early Warning,236107,1991,6.74e-05,0.431,0.954,0.00527,0.345,-2.838,0.071,125.519,0.571,45.0,1990,1990s,0
Cher,Save Up All Your Tears,238160,1991,0.075,0.609,0.773,0.0,0.188,-9.166,0.0389,113.443,0.352,47.0,1990,1990s,0
Monique,Tell Me Why,229133,1991,0.0599,0.619,0.894,0.0,0.205,-5.472,0.0341,120.035,0.825,10.0,1990,1990s,0
Nútímabörn,Okkar fyrstu fundir,133561,1991,0.798,0.667,0.399,0.0,0.201,-11.264,0.0411,100.778,0.723,4.0,1990,1990s,2
Divinyls,Pleasure And Pain,232000,1991,0.16,0.652,0.766,0.0,0.23,-8.556,0.03,135.689,0.774,43.0,1990,1990s,0
Kaya Brüel,Stay,176040,1991,0.162,0.756,0.528,0.0546,0.331,-10.77,0.044,126.549,0.809,11.0,1990,1990s,0
"Miguel Alejandro, Pocho La Pantera, Combo Salamandra, Los Cartageneros, Alcides, Los Players, Ricky Maravilla, Gladys ""La bomba tucumana""",Nena Juguetona / Pero Muy Celosa / El Hijo de Cuca / La Arañita / Si Quieres Lastimarme / Por Robarte un Beso / Amores Como el Tuyo / Ritmo Tambor y Timbal / La Pollera Amarilla / Usted Señor - Mix,947107,1991,0.181,0.514,0.73,1.05e-05,0.453,-11.834,0.0689,137.218,0.763,23.0,1990,1990s,0
Emile Pandolfi,Theme from Beauty and the Beast (The First Time I loved Forever),164800,1991,0.994,0.252,0.0595,0.913,0.0847,-24.098,0.04,68.113,0.0917,29.0,1990,1990s,2
The Saw Doctors,Don't Let Me Down,197040,1991,0.75,0.476,0.517,0.0,0.11,-6.966,0.0262,148.693,0.511,24.0,1990,1990s,2
The Waterboys,And a Bang on the Ear,445840,1991,0.00299,0.43,0.671,0.0163,0.0668,-11.929,0.03,181.368,0.866,44.0,1990,1990s,0
2Pac,Brenda's Got A Baby,233467,1991,0.0275,0.67,0.496,0.0,0.104,-14.029,0.0907,166.758,0.713,58.0,1990,1990s,0
Side A,Eva Marie,333000,1991,0.793,0.441,0.336,0.034,0.318,-18.768,0.0357,89.421,0.3,27.0,1990,1990s,2
The Wolfe Tones,The Foggy Dew,207307,1991,0.77,0.684,0.407,0.0,0.124,-13.97,0.0283,111.905,0.853,32.0,1990,1990s,2
"Lourdes Ambriz, Armando Gama",La Bella (Repetición),64773,1991,0.91,0.551,0.093,0.0,0.285,-19.149,0.0874,123.771,0.343,35.0,1990,1990s,2
Nelson Gonçalves,Quem Há de Dizer,208933,1991,0.775,0.426,0.364,9.01e-05,0.11,-14.076,0.0491,108.286,0.297,24.0,1990,1990s,2
Los Auténticos Decadentes,"La Bebida, el Juego y las Mujeres",191827,1991,0.0149,0.497,0.762,8.87e-06,0.0348,-7.792,0.0664,140.953,0.959,31.0,1990,1990s,0
Juice Leskinen Grand Slam,Pienestä pitäen,244867,1991,0.489,0.535,0.511,8.3e-06,0.151,-9.476,0.0267,129.185,0.513,23.0,1990,1990s,0
TKKG Retro-Archiv,079 - Ein Toter braucht Hilfe - Teil 21,87627,1991,0.309,0.63,0.575,0.0,0.237,-10.847,0.4,114.932,0.544,27.0,1990,1990s,1
Silvio Rodríguez,Oh Melancolía,319533,1991,0.959,0.454,0.162,1.04e-05,0.076,-13.392,0.0489,116.147,0.0626,27.0,1990,1990s,2
"Yun Liu, Lai Lai Zhang",偷偷摸摸,161467,1991,0.0748,0.639,0.213,9.8e-06,0.143,-13.49,0.0338,137.986,0.837,17.0,1990,1990s,0
The Zeros,Don't Push Me Around,145497,1991,0.105,0.335,0.787,0.000271,0.334,-9.733,0.0913,161.51,0.647,36.0,1990,1990s,0
Alberto Vazquez,La Llorona,211464,1991,0.93,0.552,0.0947,0.000366,0.107,-14.543,0.0755,75.739,0.346,26.0,1990,1990s,2
Klamydia,Matka,143667,1991,0.00824,0.138,0.985,0.0,0.11,-7.348,0.125,200.32,0.413,12.0,1990,1990s,0
Popeda,Kuinka Kummassa Voikin Käydä Näin,241787,1992,0.0838,0.308,0.891,0.0,0.181,-5.205,0.0409,137.893,0.576,23.0,1990,1990s,0
RIP,Enamorado de la Muerte,229307,1992,0.0284,0.213,0.875,0.000938,0.115,-6.765,0.0946,202.17,0.262,39.0,1990,1990s,0
Antonio Aguilar,Amargura,147702,1992,0.649,0.764,0.281,3.7e-06,0.254,-9.12,0.0396,109.575,0.919,34.0,1990,1990s,0
Siw Malmkvist,Björnmor badar Brummelman,85867,1992,0.918,0.77,0.136,1.75e-06,0.333,-16.959,0.802,103.724,0.521,25.0,1990,1990s,1
Kala Marka,Llamerada,267827,1992,0.148,0.736,0.444,0.000563,0.307,-20.213,0.0495,110.359,0.741,5.0,1990,1990s,0
Juan Luis Guerra 4.40,Señales de Humo,331760,1992,0.701,0.605,0.68,8.06e-06,0.126,-5.99,0.0335,129.39,0.852,40.0,1990,1990s,0
Jean Ferrat,La montagne,185027,1992,0.584,0.428,0.237,0.00016,0.14,-14.098,0.0357,111.111,0.45,36.0,1990,1990s,2
Noriyuki Makihara,北風 〜君にとどきますように〜,334067,1992,0.4,0.617,0.732,3.61e-06,0.301,-7.611,0.0263,107.912,0.742,20.0,1990,1990s,0
Vazelina Bilopphøggers,To Par Gebiss,155160,1992,0.634,0.714,0.74,0.000471,0.0516,-10.34,0.058,113.501,0.968,18.0,1990,1990s,0
EH Sukarra,Lau Teilatu,286320,1992,0.157,0.293,0.846,0.0,0.0664,-7.205,0.0582,116.069,0.142,28.0,1990,1990s,0
The Pharcyde,Otha Fish,321507,1992,0.121,0.758,0.845,0.0,0.328,-8.021,0.272,76.882,0.944,54.0,1990,1990s,0
"Ella Fitzgerald, Chick Webb",When I Get Low I Get High,146427,1992,0.852,0.608,0.356,0.00231,0.0737,-11.422,0.468,199.399,0.748,43.0,1990,1990s,2
The Tubes,She's A Beauty,237240,1992,0.0913,0.694,0.787,0.0106,0.0562,-9.569,0.0363,111.157,0.667,48.0,1990,1990s,0
"Marty Nystrom, Integrity's Hosanna! Music",Shepherd of My Soul - Live,261573,1992,0.838,0.512,0.301,0.0,0.0922,-16.003,0.0304,138.647,0.228,39.0,1990,1990s,2
The Swinging Blue Jeans,You're No Good,137080,1992,0.368,0.623,0.495,0.0,0.297,-11.564,0.0343,115.146,0.883,38.0,1990,1990s,0
"Franz Liszt, Daniel Barenboim","6 Consolations, S. 172: No. 3 In D Flat Major (Lento, placido)",254000,1992,0.993,0.368,0.00363,0.922,0.137,-36.759,0.035,69.363,0.085,61.0,1990,1990s,2
Ramones,Tomorrow She Goes Away,160107,1992,0.00235,0.322,0.991,0.00408,0.272,-5.283,0.0518,194.201,0.367,32.0,1990,1990s,0
Prince,My Name Is Prince,398333,1992,0.0223,0.798,0.942,0.00286,0.044,-4.209,0.135,116.577,0.36,40.0,1990,1990s,0
Raça Negra,Estou Bem,196107,1992,0.107,0.613,0.552,1.01e-06,0.191,-8.461,0.0635,96.651,0.924,33.0,1990,1990s,0
Rolf Zuckowski,Zebrastreifen,182667,1992,0.413,0.897,0.437,0.0,0.0688,-12.098,0.0362,122.882,0.963,35.0,1990,1990s,0
Stone Temple Pilots,Piece of Pie,324467,1992,2.37e-05,0.365,0.912,0.000108,0.218,-7.428,0.0656,150.578,0.4,35.0,1990,1990s,0
Janek Ledecky,Jenom láska,297000,1992,0.0748,0.367,0.465,0.0,0.146,-8.908,0.0307,130.185,0.43,10.0,1990,1990s,0
Roger Waters,Too Much Rope,347413,1992,0.273,0.322,0.165,0.00143,0.149,-17.947,0.0407,103.108,0.0433,35.0,1990,1990s,2
Xutos & Pontapés,Chuva Dissolvente,252827,1992,0.000389,0.545,0.645,0.00221,0.115,-13.801,0.0451,137.952,0.574,24.0,1990,1990s,0
Body Count,Body Count,317867,1992,0.0039,0.394,0.877,0.002,0.204,-7.349,0.3,185.708,0.546,42.0,1990,1990s,0
David Qualey,Just The Way You Are,160496,1992,0.992,0.431,0.0747,0.949,0.102,-19.563,0.0505,71.834,0.231,12.0,1990,1990s,2
Fröbelin Palikat,Jumppalaulu,92467,1992,0.856,0.718,0.235,0.0,0.199,-10.772,0.327,129.899,0.912,12.0,1990,1990s,2
Ferdi Tayfur,Sen Nerdesin Ben Nerdeyim,311560,1992,0.584,0.638,0.459,0.0,0.163,-11.624,0.043,93.874,0.52,18.0,1990,1990s,2
Mariko Takahashi,愛はルフラン,266957,1992,0.631,0.646,0.412,0.00101,0.0539,-7.988,0.0278,111.123,0.345,25.0,1990,1990s,2
The Pharcyde,4 Better Or 4 Worse,303067,1992,0.0187,0.781,0.617,0.204,0.138,-12.995,0.216,93.908,0.648,39.0,1990,1990s,0
James Blundell,Down On The Farm,236800,1992,0.303,0.659,0.725,3.58e-05,0.0536,-8.232,0.0336,103.099,0.855,37.0,1990,1990s,0
Suzanne Vega,In Liverpool,280760,1992,0.699,0.612,0.407,0.00454,0.205,-12.371,0.0241,95.811,0.437,36.0,1990,1990s,2
Edson Gomes,Perigo,262840,1992,0.214,0.811,0.477,3.06e-05,0.0611,-8.216,0.108,84.077,0.742,28.0,1990,1990s,0
Everything But The Girl,One Place - Acoustic,290507,1992,0.851,0.581,0.278,0.0,0.129,-11.306,0.0254,96.314,0.37,28.0,1990,1990s,2
Ýmsir leikarar,Á markaðnum,315002,1992,0.774,0.619,0.27,0.0,0.342,-20.981,0.942,132.22,0.676,8.0,1990,1990s,1
"Julie Andrews, Dick Van Dyke, The Pearlie Chorus","Supercalifragilisticexpialidocious - From ""Mary Poppins""/Soundtrack Version",122787,1992,0.68,0.645,0.654,0.0,0.0974,-11.07,0.39,80.319,0.937,48.0,1990,1990s,0
Banda R-15,El Bigote,170453,1992,0.551,0.833,0.616,0.000355,0.065,-9.165,0.268,131.204,0.933,38.0,1990,1990s,0
Ivar Skippervold,Noas Ark: Her Er Vi,155133,1992,0.677,0.866,0.35,0.0,0.0837,-13.746,0.0788,128.195,0.813,19.0,1990,1990s,2
Die drei ???,055 - Gekaufte Spieler - Teil 11,75040,1992,0.342,0.443,0.949,0.0,0.731,-4.892,0.883,118.255,0.255,42.0,1990,1990s,1
Pingu,De Opa isch chrank - Teil 3,175227,1992,0.632,0.733,0.139,0.0,0.269,-13.799,0.883,104.115,0.451,13.0,1990,1990s,1
Shlomo Artzi,ערב בלי ירח,301053,1992,0.642,0.629,0.302,7.59e-06,0.117,-17.459,0.0317,138.112,0.293,14.0,1990,1990s,2
"Playero, Master Joe, O.G. Black, Yaviah, Buru Fast, Baby J, Blanco",Dance Hall Mix,1395589,1992,0.031,0.713,0.683,0.0,0.148,-11.739,0.324,103.159,0.808,21.0,1990,1990s,0
The Breeders,Safari,211907,1992,0.00746,0.443,0.715,0.353,0.151,-12.456,0.033,114.491,0.639,42.0,1990,1990s,0
Haddaway,Sing About Love,280827,1992,0.0489,0.668,0.871,0.15,0.166,-10.596,0.055,120.025,0.906,31.0,1990,1990s,0
Banda Machos,El bilingüe,135333,1992,0.62,0.84,0.767,0.0,0.0555,-7.68,0.0422,101.622,0.973,37.0,1990,1990s,0
Emel Müftüoğlu,İstanbul'da Olmak Vardı,372707,1992,0.221,0.45,0.331,1.32e-06,0.105,-16.749,0.0604,170.206,0.305,16.0,1990,1990s,2
Victorio Vergara,Extraño,275440,1992,0.671,0.708,0.685,2.44e-05,0.195,-10.255,0.0427,94.732,0.957,19.0,1990,1990s,0
Pantera,This Love,393706,1992,0.000312,0.402,0.73,0.323,0.103,-9.327,0.0455,104.527,0.296,59.0,1990,1990s,0
Haindling,Paula,180093,1992,0.673,0.851,0.292,0.000779,0.151,-13.861,0.0422,108.23,0.648,39.0,1990,1990s,2
The Tragically Hip,At The Hundredth Meridian,200933,1992,0.0331,0.596,0.707,0.000117,0.092,-10.854,0.0281,97.41,0.617,32.0,1990,1990s,0
Bustan Abraham,Canaan,729667,1992,0.532,0.346,0.503,0.925,0.0823,-14.234,0.0314,159.469,0.526,11.0,1990,1990s,2
JUAN DELA CRUZ BAND,Inday,238840,1992,0.459,0.433,0.311,0.0,0.171,-12.644,0.0325,138.882,0.42,27.0,1990,1990s,2
Leevi and the leavings,"Teuvo, maanteiden kuningas",250133,1992,0.238,0.588,0.741,2.98e-05,0.183,-9.656,0.0323,122.326,0.939,46.0,1990,1990s,0
Zehava Ben,אהבה גנובה,189133,1992,0.63,0.453,0.428,0.154,0.268,-7.707,0.026,103.716,0.237,15.0,1990,1990s,2
Beastie Boys,Pass The Mic - Remastered 2009,256488,1992,0.0692,0.622,0.885,0.0,0.211,-6.262,0.241,168.149,0.558,49.0,1990,1990s,0
Antonio Aguilar,El Patas Blancas,193887,1992,0.823,0.461,0.432,7.07e-06,0.44,-5.722,0.0685,176.773,0.812,53.0,1990,1990s,0
